Identifier,lat1,lon1,lat2,lon2,distance
1001,39.768434,-104.901872,44.779373,-63.673489,3400.357004
1002,41.909147,-72.450260,44.779373,-63.673489,777.649607
1003,51.566442,-0.113699,51.505060,-0.147532,7.215327
1004,40.673000,-73.703460,44.779373,-63.673489,936.971667
1005,52.441539,-1.480381,51.505060,-0.147532,138.483318
1006,40.386664,-74.096105,44.779373,-63.673489,982.122707
1007,40.939049,-73.830990,44.779373,-63.673489,930.624378
1008,51.511627,-0.069198,51.523791,-0.077790,1.477438
1009,51.559799,-0.076500,51.520184,-0.071013,4.421402
1010,51.440132,-0.128851,51.505060,-0.147532,7.334691
1011,51.449810,-2.001635,51.472438,-3.165064,80.640200
1012,42.428549,-71.060590,42.346997,-71.102150,9.689273
1013,47.209541,-68.572380,36.211492,-86.692496,1930.290195
1014,53.380854,-2.337888,51.472438,-3.165064,219.488744
1015,51.677766,-4.101880,51.472438,-3.165064,68.647286
1016,34.032532,-84.317740,33.793083,-84.445374,29.114188
1017,35.147900,-106.636390,45.496030,-73.569478,3003.710865
1018,44.984615,-93.271370,45.496030,-73.569478,1539.761509
1019,43.645425,-79.388418,26.010410,-80.160080,1962.164115
1020,40.407958,-74.034830,45.496030,-73.569478,567.031022
1021,25.887983,-80.332840,26.010410,-80.160080,21.992938
1022,27.741505,-82.751790,43.896889,-78.859039,1829.785715
1023,44.984615,-93.271370,43.896889,-78.859039,1149.034014
1024,26.023634,-80.189220,26.010410,-80.160080,3.262067
1025,27.979114,-82.781660,26.010410,-80.160080,339.669521
1026,26.112366,-80.376970,26.010410,-80.160080,24.451907
1027,28.076744,-82.761160,26.010410,-80.160080,345.161593
1028,26.719596,-80.220770,26.010410,-80.160080,79.089315
1029,39.669237,-104.927660,26.010410,-80.160080,2752.950655
1030,41.149245,-73.942870,26.010410,-80.160080,1777.871600
1031,45.446983,-73.456065,45.496030,-73.569478,10.390089
1032,44.984615,-93.271370,44.779373,-63.673489,2319.015238
1033,34.104555,-117.587340,26.010410,-80.160080,3690.829818
1034,28.076744,-82.761160,26.010410,-80.160080,345.161593
1035,25.734828,-80.358300,25.786326,-80.202900,16.582490
1036,45.637742,-73.801139,45.496030,-73.569478,23.948096
1037,39.469961,-77.392139,26.010410,-80.160080,1518.630085
1038,28.076744,-82.761160,26.010410,-80.160080,345.161593
1039,26.228760,-80.158160,26.010410,-80.160080,24.280136
1040,39.408627,-77.286760,26.010410,-80.160080,1513.628945
1041,45.497856,-122.769880,46.487949,-80.992291,3191.331621
1042,39.423344,-77.389020,26.010410,-80.160080,1513.584554
1043,45.261743,-93.409708,46.487949,-80.992291,969.902896
1044,26.305433,-80.182870,26.010410,-80.160080,32.883789
1045,29.573345,-95.632130,36.211492,-86.692496,1113.266436
1046,53.367943,0.003766,51.472438,-3.165064,300.947567
1047,42.532636,-88.598620,36.211492,-86.692496,721.666000
1048,45.497856,-122.769880,43.896889,-78.859039,3431.794945
1049,38.045406,-85.364270,38.160106,-85.779555,38.510579
1050,26.112366,-80.376970,26.010410,-80.160080,24.451907
1051,26.191111,-80.108460,26.010410,-80.160080,20.743624
1052,26.110631,-80.274690,26.010410,-80.160080,15.976688
1053,54.857990,-1.810814,51.505060,-0.147532,388.925644
1054,51.084539,1.191632,51.505060,-0.147532,104.193551
1055,25.665580,-80.306880,26.010410,-80.160080,41.061608
1056,28.598677,-81.355940,28.371017,-81.521952,30.067952
1057,42.332099,-71.096510,42.346997,-71.102150,1.720219
1058,53.831957,-1.131901,51.472438,-3.165064,296.021618
1059,25.723173,-80.439950,26.010410,-80.160080,42.476373
1060,42.364347,-71.104310,42.346997,-71.102150,1.937379
1061,26.242559,-80.265640,26.010410,-80.160080,27.882040
1062,30.268572,-81.739870,26.010410,-80.160080,498.159169
1063,34.002147,-84.633920,33.793083,-84.445374,29.038687
1064,45.497856,-122.769880,44.779373,-63.673489,4527.777084
1065,53.757894,-0.413613,51.505060,-0.147532,251.145966
1066,51.456756,-0.243094,51.472438,-3.165064,202.411325
1067,30.425652,-97.714190,30.267204,-97.742310,17.824013
1068,28.075060,-82.523550,27.960442,-82.460148,14.183357
1069,28.069755,-82.557340,27.960442,-82.460148,15.452299
1070,45.565440,-122.646350,45.513790,-122.645800,5.743378
1071,51.489414,-0.217294,51.505060,-0.147532,5.133038
1072,39.768434,-104.901872,49.893452,-97.143494,1279.726729
1073,27.365549,-82.486590,26.010410,-80.160080,275.905532
1074,42.527184,-92.456090,36.211492,-86.692496,858.965939
1075,45.261743,-93.409708,52.189591,-106.676529,1237.896257
1076,53.358679,-2.175034,51.505060,-0.147532,247.720927
1077,40.407958,-74.034830,52.189591,-106.676529,2796.443512
1078,34.659575,-79.062820,36.211492,-86.692496,712.230569
1079,45.059372,-93.374481,49.893452,-97.143494,607.403016
1080,40.714300,-73.555270,52.189591,-106.676529,2806.876863
1081,25.653431,-80.359990,26.010410,-80.160080,44.451604
1082,39.731237,-104.971330,49.893452,-97.143494,1286.040970
1083,51.461876,-0.224226,51.505060,-0.147532,7.159696
1084,40.714300,-73.555270,49.893452,-97.143494,2095.485424
1085,42.477142,-71.442200,42.346997,-71.102150,31.444853
1086,37.758434,-122.435120,37.792778,-122.421880,3.992237
1087,33.427135,-111.758483,36.211492,-86.692496,2302.513276
1088,26.026700,-80.294430,26.010410,-80.160080,13.546640
1089,26.023634,-80.189220,26.010410,-80.160080,3.262067
1090,51.756817,-0.583309,36.152607,-86.789270,6698.116342
1091,34.049789,-84.385390,36.152607,-86.789270,320.127590
1092,40.714300,-73.555270,46.487949,-80.992291,877.163405
1093,41.100182,-74.013300,36.152607,-86.789270,1237.001556
1094,33.687620,-117.788520,32.715329,-117.157255,123.037081
1095,30.438933,-97.803830,26.010410,-80.160080,1795.142978
1096,30.438933,-97.803830,26.010410,-80.160080,1795.142978
1097,51.523278,0.559111,51.505060,-0.147532,48.940754
1098,40.430632,-79.618370,36.152607,-86.789270,785.637782
1099,40.636286,-73.637400,36.152607,-86.789270,1248.248003
1100,47.626571,-122.232800,40.714353,-74.005973,3857.791349
1101,29.564347,-95.547620,29.753927,-95.364053,27.549913
1102,51.531469,-0.178960,51.520184,-0.071013,7.572640
1103,38.946462,-76.483580,36.152607,-86.789270,959.510521
1104,40.992084,-89.152310,36.152607,-86.789270,575.938324
1105,29.961875,-90.160370,29.938005,-90.071950,8.922838
1106,51.560018,-0.066024,51.505060,-0.147532,8.314570
1107,38.959606,-94.681890,36.152607,-86.789270,762.181412
1108,43.641774,-116.265070,43.695190,-116.350182,9.063299
1109,38.985854,-77.086547,38.917866,-77.023722,9.309473
1110,42.316852,-71.058110,42.346997,-71.102150,4.933683
1111,39.731237,-104.971330,53.570557,-113.456284,1666.793106
1112,33.387089,-82.012370,36.152607,-86.789270,533.683615
1113,45.059372,-93.374481,53.570557,-113.456284,1726.991124
1114,43.593523,-116.199030,43.695190,-116.350182,16.604948
1115,45.059372,-93.374481,51.038212,-114.051483,1667.337432
1116,40.407958,-74.034830,51.038212,-114.051483,3275.395870
1117,39.990764,-83.001170,51.472438,-3.165064,6010.902497
1118,41.775031,-88.032602,36.152607,-86.789270,634.337663
1119,40.759686,-73.733220,53.570557,-113.456284,3268.436845
1120,43.641774,-116.265070,43.695190,-116.350182,9.063299
1121,43.572671,-116.295270,43.695190,-116.350182,14.322367
1122,43.631230,-116.287160,43.695190,-116.350182,8.733882
1123,30.284511,-81.470430,26.010410,-80.160080,492.302066
1124,45.344246,-122.584640,45.513790,-122.645800,19.447172
1125,41.779384,-87.605440,41.949847,-87.658800,19.462853
1126,38.106135,-85.753620,36.152607,-86.789270,235.824006
1127,39.735745,-105.193370,39.740118,-104.975305,18.652263
1128,36.111449,-79.271420,36.152607,-86.789270,675.008018
1129,28.076744,-82.761160,53.570557,-113.456284,3778.499906
1130,28.076744,-82.761160,51.038212,-114.051483,3653.037326
1131,43.641774,-116.265070,43.695190,-116.350182,9.063299
1132,43.011823,-78.959140,36.211492,-86.692496,1004.384935
1133,40.714300,-73.555270,53.570557,-113.456284,3283.228730
1134,34.774692,-85.614832,36.152607,-86.789270,186.513939
1135,40.089905,-75.641240,36.152607,-86.789270,1067.935961
1136,45.497856,-122.769880,53.570557,-113.456284,1119.416517
1137,39.165253,-94.531580,36.211492,-86.692496,763.619597
1138,45.497856,-122.769880,51.038212,-114.051483,891.040110
1139,28.076744,-82.761160,53.570557,-113.456284,3778.499906
1140,37.975476,-87.475060,36.152607,-86.789270,211.628435
1141,41.235064,-96.050730,41.124229,-96.060486,12.351261
1142,32.856447,-117.211430,32.715329,-117.157255,16.488586
1143,51.105351,-2.463167,51.472438,-3.165064,63.627946
1144,42.107026,-83.287110,53.570557,-113.456284,2559.592910
1145,39.350319,-84.116060,36.152607,-86.789270,426.172244
1146,36.055115,-86.647820,36.152607,-86.789270,16.703550
1147,43.638314,-116.330590,43.695190,-116.350182,6.517738
1148,35.400170,-97.432490,36.152607,-86.789270,963.306386
1149,42.107026,-83.287110,51.038212,-114.051483,2529.236463
1150,40.225409,-74.659180,36.152607,-86.789270,1151.522934
1151,39.825643,-75.772440,51.038212,-114.051483,3192.084399
1152,39.435789,-76.636140,51.038212,-114.051483,3157.972751
1153,37.862526,-122.275820,37.792778,-122.421880,14.990412
1154,36.294596,-115.246850,53.570557,-113.456284,1926.006442
1155,35.921811,-86.795200,36.152607,-86.789270,25.668883
1156,28.803979,-81.287610,28.371017,-81.521952,53.303811
1157,54.810847,-4.173113,55.860870,-4.288154,116.983673
1158,25.767368,-80.189300,26.010410,-80.160080,27.182689
1159,25.784326,-80.187530,25.786326,-80.202900,1.554881
1160,25.733204,-80.411970,26.010410,-80.160080,39.815008
1161,51.529469,-0.084504,51.520184,-0.071013,1.391856
1162,41.022387,-81.877500,36.152607,-86.789270,689.280905
1163,45.266060,-93.411748,55.737835,-120.208252,2203.285928
1164,39.825643,-75.772440,49.893452,-97.143494,2011.260261
1165,45.266060,-93.411748,48.431202,-123.361465,2289.631935
1166,28.076744,-82.761160,49.031204,-122.287300,4082.894618
1167,45.247509,-93.418000,49.494083,-119.606796,2016.828160
1168,46.896821,-113.955510,43.695190,-116.350182,402.224964
1169,39.825643,-75.772440,49.031204,-122.287300,3768.489562
1170,33.768205,-84.337860,36.152607,-86.789270,346.671657
1171,45.247509,-93.418000,49.031204,-122.287300,2209.682780
1172,30.384204,-97.703920,30.267204,-97.742310,13.521491
1173,51.455479,-0.243128,51.472438,-3.165064,202.413041
1174,42.340848,-71.051909,45.496030,-73.569478,404.610013
1175,45.428663,-122.380900,49.031204,-122.287300,400.646553
1176,39.296499,-80.241990,36.211492,-86.692496,662.521269
1177,47.388461,-122.196440,48.431202,-123.361465,144.854498
1178,51.844517,1.266214,51.520184,-0.071013,98.993672
1179,38.439526,-82.693200,36.152607,-86.789270,442.580975
1180,26.579714,-80.074370,33.958337,-83.377211,879.479753
1181,39.758986,-104.966780,39.740118,-104.975305,2.221011
1182,42.009731,-87.669380,41.886456,-87.623250,14.228540
1183,38.243734,-122.693450,38.347174,-122.695370,11.503224
1184,53.213293,-2.374722,51.505060,-0.147532,242.780463
1185,43.641774,-116.265070,43.695190,-116.350182,9.063299
1186,41.098248,-85.120610,36.152607,-86.789270,568.680156
1187,36.362525,-94.233080,36.211492,-86.692496,675.900117
1188,51.492148,-0.275038,51.505060,-0.147532,8.942302
1189,38.682803,-121.223100,38.347174,-122.695370,133.417418
1190,45.514241,-122.600890,45.513790,-122.645800,3.499663
1191,47.224876,-120.992860,48.431202,-123.361465,221.924245
1192,38.243734,-122.693450,38.347174,-122.695370,11.503224
1193,51.428811,-0.121473,51.520184,-0.071013,10.744460
1194,42.516845,-70.898500,36.152607,-86.789270,1535.571327
1195,27.891151,-82.505810,36.125504,-115.164238,3195.556169
1196,33.661889,-97.380290,36.211492,-86.692496,1014.030836
1197,47.436898,-120.257420,48.431202,-123.361465,256.293020
1198,38.544860,-122.807850,38.347174,-122.695370,24.065478
1199,38.457611,-122.693170,38.347174,-122.695370,12.281530
1200,37.316983,-121.935550,38.347174,-122.695370,132.569442
1201,51.463976,-0.040977,51.520184,-0.071013,6.586819
1202,38.328614,-122.710440,38.347174,-122.695370,2.446782
1203,41.850532,-87.669900,41.949847,-87.658800,11.081470
1204,51.546149,-0.061563,51.520184,-0.071013,2.960331
1205,38.919211,-77.037770,38.917866,-77.023722,1.224529
1206,42.194946,-88.216760,36.152607,-86.789270,683.021892
1207,33.786755,-84.351490,36.125504,-115.164238,2808.368621
1208,40.289752,-80.007560,36.152607,-86.789270,749.675907
1209,51.603927,-3.656694,51.472438,-3.165064,37.012468
1210,40.759246,-111.863710,40.648541,-111.493620,33.537794
1211,34.043263,-86.089040,36.152607,-86.789270,243.043260
1212,43.705551,-116.363460,43.695190,-116.350182,1.570559
1213,50.732607,-1.162483,51.505060,-0.147532,111.335428
1214,54.799058,-1.672140,51.472438,-3.165064,383.051790
1215,38.544860,-122.807850,38.347174,-122.695370,24.065478
1216,37.972623,-122.338730,38.347174,-122.695370,52.027371
1217,39.793465,-121.879460,38.347174,-122.695370,175.566580
1218,38.337243,-122.300270,38.347174,-122.695370,34.475266
1219,33.794055,-84.385250,33.793083,-84.445374,5.556955
1220,37.834724,-122.283160,38.347174,-122.695370,67.440699
1221,33.437667,-86.745860,36.152607,-86.789270,301.913565
1222,43.705551,-116.363460,43.695190,-116.350182,1.570559
1223,43.705551,-116.363460,43.695190,-116.350182,1.570559
1224,48.961443,-122.737140,43.695190,-116.350182,763.248555
1225,44.854428,-116.049910,43.695190,-116.350182,131.099162
1226,51.502182,-0.239186,51.520184,-0.071013,11.809021
1227,50.840380,-1.178238,50.824845,-0.157295,71.720401
1228,51.550722,-0.473497,51.595989,-0.136335,23.838400
1229,47.610935,-122.141040,48.431202,-123.361465,128.674213
1230,42.985465,-87.899980,43.074528,-89.380771,120.768460
1231,50.815857,-1.093243,51.453746,-2.600588,126.851899
1232,37.682583,-122.482090,38.347174,-122.695370,76.224533
1233,43.641774,-116.265070,43.750744,-114.519800,140.831057
1234,51.466746,-0.074060,51.520184,-0.071013,5.945776
1235,40.680064,-111.822200,40.648541,-111.493620,27.935125
1236,38.303945,-85.767870,38.160106,-85.779555,16.026740
1237,29.153239,-81.022290,28.556902,-81.347115,73.468983
1238,35.239022,-91.737760,36.211492,-86.692496,468.039300
1239,38.404991,-122.727500,38.347174,-122.695370,7.012567
1240,38.829512,-77.082040,38.932185,-77.266278,19.612970
1241,38.544860,-122.807850,38.347174,-122.695370,24.065478
1242,25.990494,-80.273260,26.010410,-80.160080,11.526070
1243,56.555673,-2.614851,55.865867,-4.267221,127.761958
1244,29.654132,-95.543110,29.753927,-95.364053,20.547932
1245,53.159495,-2.098487,51.472438,-3.165064,201.108537
1246,51.521688,-0.029608,51.505060,-0.147532,8.367249
1247,51.531120,-0.233917,51.490867,-0.225218,4.516248
1248,43.641774,-116.265070,43.695190,-116.350182,9.063299
1249,51.553069,-0.050486,51.520184,-0.071013,3.922683
1250,38.932760,-77.167700,38.917866,-77.023722,12.564573
1251,51.593844,-2.397472,51.472438,-3.165064,54.783499
1252,37.941424,-122.366280,38.347174,-122.695370,53.514410
1253,53.415184,-2.103110,51.505060,-0.147532,250.312200
1254,51.570572,-0.298279,51.520184,-0.071013,16.684685
1255,55.865801,-4.275288,51.448002,5.454040,806.463682
1256,51.836707,-5.048139,51.595989,-0.136335,339.372897
1257,47.458821,-122.349430,47.613499,-122.297333,17.638426
1258,40.108631,-88.273300,41.949847,-87.658800,211.121244
1259,38.795668,-122.997000,38.347174,-122.695370,56.344005
1260,46.400365,-117.083130,43.695190,-116.350182,306.259306
1261,34.000578,-117.969430,33.699765,-117.917572,33.789984
1262,38.438161,-122.674190,38.347174,-122.695370,10.284301
1263,43.641774,-116.265070,43.695190,-116.350182,9.063299
1264,45.544240,-122.643530,45.513790,-122.645800,3.390500
1265,44.451941,-73.179410,51.472438,-3.165064,5068.989059
1266,51.484642,-0.198510,51.505060,-0.147532,4.196291
1267,41.953256,-87.662900,41.886456,-87.623250,8.120012
1268,52.421497,-1.930315,51.472438,-3.165064,135.268751
1269,38.440061,-122.710598,38.347174,-122.695370,10.413476
1270,51.602267,-0.185519,51.520184,-0.071013,12.081499
1271,40.785557,-96.645990,36.211492,-86.692496,1003.537082
1272,38.309105,-85.720350,38.160106,-85.779555,17.356192
1273,50.835239,-0.137624,50.824845,-0.157295,1.801241
1274,38.438161,-122.674190,38.347174,-122.695370,10.284301
1275,52.409437,-2.263464,52.387201,-1.991667,18.605808
1276,41.468451,-72.406150,36.152607,-86.789270,1376.953543
1277,33.789204,-111.963010,36.211492,-86.692496,2310.879969
1278,51.535575,0.028915,51.520184,-0.071013,7.121507
1279,51.416335,-0.128701,51.505060,-0.147532,9.951641
1280,38.460395,-77.432660,38.917866,-77.023722,62.026840
1281,53.390197,-2.131891,51.472438,-3.165064,224.448276
1282,39.825643,-75.772440,53.570557,-113.456284,3203.468974
1283,41.598255,-87.892010,41.949847,-87.658800,43.617016
1284,50.261035,-5.285400,51.472438,-3.165064,200.699412
1285,41.921126,-87.700850,41.886456,-87.623250,7.490334
1286,38.544860,-122.807850,38.347174,-122.695370,24.065478
1287,51.455038,-0.074653,51.520184,-0.071013,7.248243
1288,40.741012,-74.000120,49.279270,-123.129776,3903.843863
1289,39.385141,-104.859620,39.740118,-104.975305,40.698336
1290,51.655030,-3.806002,51.472438,-3.165064,48.734418
1291,51.434661,-0.133692,51.505060,-0.147532,7.886509
1292,40.654112,-73.609500,38.932185,-77.266278,366.380865
1293,34.027533,-84.514750,33.793083,-84.445374,26.844247
1294,40.187903,-75.080961,51.472438,-3.165064,5478.284130
1295,29.798777,-95.409510,29.753927,-95.364053,6.642206
1296,53.833095,-1.564929,51.472438,-3.165064,283.800357
1297,51.471486,-0.167381,51.505060,-0.147532,3.978133
1298,42.332099,-71.096510,42.346997,-71.102150,1.720219
1299,28.127973,-82.361230,36.211492,-86.692496,986.659658
1300,42.883214,-112.439680,43.750744,-114.519800,193.964415
1301,33.252941,-80.082970,36.161169,-86.778688,691.994165
1302,33.106582,-96.694020,36.211492,-86.692496,977.150139
1303,36.573377,-115.674671,36.088922,-115.139050,72.138450
1304,53.618371,-2.204665,51.505060,-0.147532,273.022681
1305,51.531139,-0.217336,51.505060,-0.147532,5.633615
1306,38.457611,-122.693170,38.347174,-122.695370,12.281530
1307,39.158386,-78.247580,36.211492,-86.692496,811.732602
1308,51.488561,-0.144946,51.505060,-0.147532,1.843310
1309,25.784276,-80.141260,25.786326,-80.202900,6.175808
1310,47.193770,-120.917330,48.431202,-123.361465,228.549775
1311,51.417400,-0.693444,51.472438,-3.165064,171.394529
1312,30.246309,-97.760870,30.267204,-97.742310,2.928545
1313,51.474862,-0.018292,51.549045,-0.141048,11.840991
1314,29.752528,-95.399230,29.753927,-95.364053,3.399415
1315,38.495857,-122.906360,38.347174,-122.695370,24.722165
1316,51.463294,-0.042144,51.520184,-0.071013,6.634034
1317,37.177839,-87.057610,36.152607,-86.789270,116.485805
1318,43.627734,-116.207560,43.695190,-116.350182,13.707159
1319,52.548649,-1.882511,52.480825,-1.915017,7.855861
1320,34.191106,-77.906178,51.472438,-3.165064,6102.911060
1321,35.212681,-97.486720,30.267204,-97.742310,550.430544
1322,52.502957,-1.986388,52.475756,-1.887562,7.343120
1323,43.285470,-76.001380,36.211492,-86.692496,1204.115361
1324,30.233865,-95.496790,30.267204,-97.742310,215.718594
1325,38.825710,-77.439640,38.917866,-77.023722,37.436202
1326,29.210309,-81.002590,28.556902,-81.347115,80.024949
1327,36.180806,-86.741760,36.152607,-86.789270,5.293495
1328,37.792678,-122.407930,36.125504,-115.164238,669.574288
1329,43.750744,-114.519800,43.695190,-116.350182,147.215159
1330,38.480494,-122.749760,38.347174,-122.695370,15.563486
1331,39.989135,-105.228830,40.008020,-105.276575,4.577139
1332,46.394490,-114.187110,36.211492,-86.692496,2542.894375
1333,37.786129,-122.437360,37.792778,-122.421880,1.548223
1334,34.066271,-81.024920,32.799326,-79.948130,172.713244
1335,33.511992,-112.141700,32.715329,-117.157255,475.399843
1336,51.415606,-0.064446,51.505060,-0.147532,11.492331
1337,51.578104,-0.034731,51.543051,-0.151324,8.952851
1338,26.023567,-80.238510,26.010410,-80.160080,7.972639
1339,25.895557,-80.355090,26.010410,-80.160080,23.307673
